"competitor","type","primary_scope","supply_model","candidate_experience_observed","freshness_observed","pay_schedule_language","trust_strength","business_model_observed","strategic_gap","evidence_url","snapshot_date"
"Stepstone","Broad job board and recruiting platform","All roles in Germany","Employer posts, distribution and partner network","Deep filters, quick apply and commute tools; title-led search; very broad result sets","Date filters exist; single ads commonly run 30 days; subscription jobs can remain until filled","Some salary display; schedule usually in prose; language filter exists","Established employer product and quality rules","Single Pro ad from EUR 1,449/30 days; starter subscription from EUR 249/month for 12 months","Expensive for casual SME hiring; not designed around weekly availability; volume can overwhelm","https://www.stepstone.de/e-recruiting/stellenanzeige-aufgeben/","2026-09-01"
"Indeed","Broad aggregator and job board","All roles in Germany","Employer posts plus career-site/ATS aggregation","Large supply, relevance/date sort, easy application on eligible jobs","Free listings lose visibility with time; policy addresses suspicious, duplicate and expired jobs","Employer-dependent; response-time labels appear on some jobs","Strong integrity policies and employer tooling; sponsored visibility is explicit","Up to three free posts/month from Dec 2025; sponsored auction/per-started-application models","Commercial/relevance mix; schedule and contract truth are not the core organizing layer","https://de.indeed.com/recruiting/stellenanzeige-aufgeben?co=DE&hl=de","2026-09-01"
"Kleinanzeigen","Local classifieds","Local German jobs plus job-seeker ads","Private and commercial self-posting plus professional feeds","Very local and recent; direct message/apply; offers and job requests can mix in one query","Newest-first option and visible post dates","Highly inconsistent; structured hourly-pay field sometimes available","Large reach and poster history, but attractive easy-money jobs create scam exposure","Classified advertising and commercial products","Strong local liquidity but inconsistent structure, identity, application route and safety","https://www.kleinanzeigen.de/s-jobs/berlin/minijob-in-berlin/k0c102l3331","2026-09-01"
"Zenjob","Digital temporary-employment provider","Student shifts and working-student roles in 40+ German cities","Zenjob employs/places students under AÜG and handles administration","Strong shift selection; app-only onboarding; identity, tax, insurance and student documents required","Live shift inventory rather than passive ads","Schedule and shift details are core; most roles require good German","Verified worker/employer operations and payroll; heavier accountability","Employer staffing fees not publicly standardized","Student-only; high onboarding friction; not a neutral discovery portal; app reviews flag cancellation and communication themes","https://www.zenjob.com/de/","2026-09-01"
"jobvalley / Jobmensa","Student staffing, placement and job board","Students, graduates and young professionals across Germany","Temporary supply, direct placement and Jobmensa board","One profile, app applications, document upload, shifts and payroll","Claims daily new jobs; operational shift lifecycle","Up to EUR 20/hour claim; schedules and job categories are prominent","Large claimed workforce and operational employer relationships","Employer inquiry/quote model","Student-centered and operationally heavy; neutral cross-source flexible-job discovery is not the main product","https://jobvalley.com/de-de/fuer-bewerber/student/","2026-09-01"
"jobicco Berlin","Curated local casual-job board","Students in Berlin and Brandenburg; non-academic casual work","Commercial and private employer submissions with manual review","Minimal bilingual list/detail experience; 15 current jobs observed","Maximum 30 days and automatic deactivation","Remuneration field exists; schedule depth varies by poster","Manual review and clear operator identity","EUR 60 plus VAT/30 days for commercial jobs; private jobs free","Trusted and focused but tiny supply, student-only and weak matching; already owns the 30-day claim","https://www.jobicco.berlin/job-schalten","2026-09-01"
"NebenJob","National side-job portal","Minijobs, part-time, student and entry roles","Employer posts plus direct partners/external sources","Many filters and pay/hour cards, but observed results mixed surveys, travel fundraising and full-time weeks","30-day products; ranking decays with age but paid/partner priority affects order","Often shows wage and weekly hours; schedule specificity varies","Employer accounts and anti-discrimination guidance; mixed-source inventory","Free new-customer offer; EUR 179 standard and EUR 358 top 30-day products; application charges can apply to intro offer","High inventory but weak niche purity and commercial clutter","https://www.nebenjob.de/unternehmen/stellenanzeige-aufgeben","2026-09-01"
"EnglishJobs.de","English-language job search engine/board","English-speaking professional roles in Germany","Aggregated/search inventory plus employer subscriptions","Very simple search and city pages; 1,440 Berlin jobs observed; visible mix skewed professional/technical","New jobs shown daily with visible dates","Language is core; schedule and hourly-pay discovery are not","Report-job controls and named EU operator","EUR 99/month one active job; EUR 149/month unlimited for one employer","Solves language discovery, not flexible-entry work or schedule fit","https://englishjobs.com/","2026-09-01"
"Arbeitnow","Niche job board/API","Primarily tech, design and English-friendly Germany roles","Employer posting and distribution/API","Simple structured form and direct application URL","Employer-managed posting; no special liveness promise observed","Supports temporary type and tags; schedule-first browsing not core","Named operator and employer checkout","EUR 199 per post","Useful English/tech niche, but not a local flexible-work product","https://www.arbeitnow.com/job-board/post-job","2026-09-01"
"Berlin Startup Jobs","Local startup board","Berlin startup employment","Reviewed paid employer submissions","Simple category-led board with email/social distribution","90-day products","Startup job descriptions; not hourly/schedule-first","Rejects recruiters/headhunters and non-Berlin startups","EUR 120 standard/90 days; EUR 300 featured; EUR 50 internships","Strong niche identity but mostly professional startup roles and very long listing duration","https://berlinstartupjobs.com/submit-a-job/","2026-09-01"
"JOIN","Employer ATS and multiposting tool","Employer-side distribution across Europe","Employer creates once; JOIN publishes to organic/paid boards and manages candidates","Not a candidate destination thesis; excellent employer workflow","Syncs changes from source across destinations","Structured job creation and pipeline; schedule fields depend on employer","Centralized source tracking, candidate pipeline and GDPR tooling","From EUR 20 per active job/month after trial; paid media extra","Potential partner/infrastructure rather than direct competitor; demonstrates how cheap distribution software has become","https://join.com/de/funktionen/multiposting","2026-09-01"
"HeyJobs","Performance recruitment platform","Broad German hiring with focus on measurable candidates","Multi-channel performance marketing and screening","Mobile candidate funnels and assessment; employer campaign product","30-day budget intervals and campaign management","Structured screening; job-specific pay/schedule depends on employer","Established campaign and verification operations","HIRE base price EUR 400; REACH can be under EUR 150/job","Far more expensive and campaign-led; does not organize the consumer market around flexible availability","https://www.heyjobs.co/recruiting/preise/","2026-09-01"

